Date,League,Team1,Team2,T1 Open,T1 DK,T2 Open,T2 DK
2025/05/28,mlb,Marlins,Padres,+140,+130,-166,-155
2025/05/28,mlb,Cardinals,Orioles,+102,+102,-122,-122
2025/05/28,mlb,Reds,Royals,-120,-118,+100,-102
2025/05/28,mlb,Rockies,Cubs,+270,+295,-340,-375
2025/05/28,mlb,Blue Jays,Rangers,+130,+120,-155,-142
2025/05/28,mlb,Yankees,Angels,-162,-166,+136,+140
2025/05/28,mlb,Nationals,Mariners,+160,+180,-192,-218
2025/05/28,mlb,Dodgers,Guardians,-135,-170,+114,+142
2025/05/28,mlb,White Sox,Mets,+205,+195,-250,-238
2025/05/28,mlb,Twins,Rays,-110,+102,-110,-122
2025/05/28,mlb,Giants,Tigers,-105,+100,-115,-120
2025/05/28,mlb,Red Sox,Brewers,+130,+124,-155,-148
2025/05/28,mlb,Athletics,Astros,+110,+120,-130,-142
2025/05/28,mlb,Pirates,Diamondbacks,+105,+114,-125,-135
2025/05/28,mlb,Braves,Phillies,+142,+130,-170,-155
2025/05/27,mlb,Dodgers,Guardians,-125,-135,+105,+114
2025/05/27,mlb,Cardinals,Orioles,-102,-125,-118,+105
2025/05/27,mlb,Giants,Tigers,-120,-115,+100,-105
2025/05/27,mlb,Braves,Phillies,-105,-108,-115,-112
2025/05/27,mlb,Twins,Rays,-120,-118,+100,-102
2025/05/27,mlb,White Sox,Mets,+215,+240,-265,-298
2025/05/27,mlb,Red Sox,Brewers,+100,-105,-120,-115
2025/05/27,mlb,Reds,Royals,-110,+100,-110,-120
2025/05/27,mlb,Rockies,Cubs,+260,+270,-325,-340
2025/05/27,mlb,Blue Jays,Rangers,+140,+124,-166,-148
2025/05/27,mlb,Athletics,Astros,+170,+200,-205,-245
2025/05/27,mlb,Yankees,Angels,-185,-218,+154,+180
2025/05/27,mlb,Pirates,Diamondbacks,+205,+220,-250,-270
2025/05/27,mlb,Nationals,Mariners,+136,+145,-162,-175
2025/05/27,mlb,Marlins,Padres,+150,+142,-180,-170
2025/05/26,mlb,Giants,Tigers,-110,-102,-110,-118
2025/05/26,mlb,Red Sox,Brewers,-155,-155,+130,+130
2025/05/26,mlb,Rockies,Cubs,+260,+280,-325,-355
2025/05/26,mlb,Cardinals,Orioles,-110,-118,-110,-102
2025/05/26,mlb,Blue Jays,Rangers,+130,+120,-155,-142
2025/05/26,mlb,Reds,Royals,+100,-102,-120,-118
2025/05/26,mlb,White Sox,Mets,+235,+230,-290,-285
2025/05/26,mlb,Dodgers,Guardians,-185,-180,+154,+150
2025/05/26,mlb,Twins,Rays,+102,-105,-122,-115
2025/05/26,mlb,Pirates,Diamondbacks,+150,+164,-180,-198
2025/05/26,mlb,Marlins,Padres,+120,+136,-142,-162
2025/05/26,mlb,Yankees,Angels,-162,-198,+136,+164
2025/05/25,mlb,Guardians,Tigers,+180,+260,-218,-325
2025/05/25,mlb,Brewers,Pirates,-118,-162,-102,+136
2025/05/25,mlb,Orioles,Red Sox,+114,+110,-135,-130
2025/05/25,mlb,Giants,Nationals,-162,-142,+136,+120
2025/05/25,mlb,Cubs,Reds,-112,-135,-108,+114
2025/05/25,mlb,Blue Jays,Rays,+102,-112,-122,-108
2025/05/25,mlb,Mariners,Astros,-130,-148,+110,+124
2025/05/25,mlb,Royals,Twins,+105,+100,-125,-120
2025/05/25,mlb,Rangers,White Sox,-142,-120,+120,+100
2025/05/25,mlb,Diamondbacks,Cardinals,+105,+110,-125,-130
2025/05/25,mlb,Yankees,Rockies,-298,-285,+240,+230
2025/05/25,mlb,Phillies,Athletics,-185,-198,+154,+164
2025/05/25,mlb,Marlins,Angels,+120,-108,-142,-112
2025/05/25,mlb,Padres,Braves,+120,+124,-142,-148
2025/05/25,mlb,Dodgers,Mets,+114,-105,-135,-115
